Remesas,Consumo,V.Consumo,Inversion,V.Inversion,Tasa.Cambio,INPC,Rezago.Rem,TIIE28
355.2609,66.33467173,7.184544388,63.08848856,22.5386984,7.872,28.759336,315.6016,29.92
338.6477,62.26647249,6.385283673,59.83972037,15.17727644,7.8271,29.498886,355.2609,25.96
331.5918,60.68053226,4.399242544,57.23757769,15.78592889,7.8003,29.994598,338.6477,22.11
381.9072,62.19204041,5.04791983,55.66111973,10.12323314,7.9647,30.367889,331.5918,23.95
425.5386,65.42687019,5.779209935,60.12704416,24.22397081,7.9074,30.695972,381.9072,23.98
486.6894,65.47344761,2.890910419,59.19977542,19.63456163,7.9006,30.976119,425.5386,20.65
453.5596,65.51760949,11.58095014,60.3638543,17.77266989,7.9502,31.250957,486.6894,22.53
441.6863,66.38409964,7.777104289,62.67430043,14.63775579,7.8733,31.523211,453.5596,20.5
428.9022,65.34089776,9.635973022,67.90571048,16.86847558,7.7828,31.803502,441.6863,20.64
431.4678,64.87726543,8.069763626,69.05249422,17.90442043,7.7805,32.199613,428.9022,20.23
421.6681,69.14617019,7.251975272,67.03015066,11.81107788,7.8603,32.456941,431.4678,19.7
343.4307,68.13684943,9.008028356,65.65558372,12.54197983,8.2689,32.820042,421.6681,22.17
379.755,71.2722976,8.488484295,68.24069036,8.166627411,8.1219,33.279875,343.4307,20.48
382.5317,66.35438073,6.600616309,67.17064207,12.25092908,8.2177,34.003924,379.755,19.74
366.3982,64.90120557,7.443506919,67.23828439,17.47227451,8.5014,34.599238,382.5317,20.52
427.1949,70.50830656,7.462468626,70.96544706,27.4955434,8.5676,35.004533,366.3982,21.69
439.995,67.97807377,6.565183596,64.17539954,6.733002492,8.4965,35.332042,427.1949,20.55
520.3739,70.30751152,6.955564091,65.55061729,10.72781413,8.5934,35.613481,439.995,19.9
503.4876,69.99259596,13.37191398,66.28559348,9.810074659,8.9131,36.03442,520.3739,21.47
494.3256,71.01409769,3.899320832,68.10919546,8.671648488,8.896,36.381878,503.4876,21.88
486.607,69.19533515,7.383243255,72.77361734,7.168626659,9.3633,36.731632,494.3256,25.78
476.2905,69.12364347,6.830204132,77.05146202,11.58389409,10.2307,37.327376,486.607,42.04
454.6739,71.90134105,6.974558776,72.00008265,7.414472339,10.1536,37.862269,476.2905,37.65
460.6924,70.87006034,5.898966065,67.89616552,3.412629473,9.9682,38.532786,454.6739,34.78
614.271,74.10933518,6.545248174,72.59935081,6.38718692,9.9057,39.472974,460.6924,36.69
399.6423,69.36310432,3.984560315,72.76706759,8.331654057,10.1351,40.46977,614.271,35.8
388.8511,67.56737842,4.011354989,71.92422786,6.969159786,9.9939,41.013643,399.6423,32.21
464.8977,73.51111638,3.980561404,75.22923383,6.008257465,9.7316,41.394684,388.8511,26.87
469.1828,71.253825,6.297243936,67.63475953,5.390476746,9.4185,41.774577,464.8977,22.54
571.562,72.86639631,4.534325481,68.60276161,4.656164114,9.4105,42.025877,469.1828,22.52
521.9225,72.8980475,4.108048254,71.48453615,7.843246771,9.5139,42.302006,571.562,23.6
506.6642,74.13232757,4.258802928,71.07420303,4.353314643,9.3657,42.58158,521.9225,22.11
532.0997,72.6349033,4.818835034,76.77048682,5.492195695,9.3966,42.821255,506.6642,23.13
490.4829,72.50603906,3.639561034,78.57635155,1.97905334,9.3358,43.235018,532.0997,22.04
474.5069,74.70991516,4.151084116,73.16985347,1.624679835,9.5667,43.508851,490.4829,20.63
502.0073,74.69349567,4.391001198,74.16770507,9.236956895,9.3988,43.895776,474.5069,19.01
587.7353,78.48269239,4.97080929,76.66885552,5.605428513,9.4249,44.335516,502.0073,18.75
456.2456,73.28777299,4.893254215,76.86182908,5.627217953,9.4878,44.93083,587.7353,18.55
447.187,72.52680768,3.906149838,77.78206626,8.144457817,9.4252,45.32938,456.2456,18.15
494.4502,77.74379186,5.394993753,77.92491754,3.583292789,9.2876,45.580681,447.187,15.77
498.8308,74.25047001,5.901223109,71.59633807,5.857311484,9.3903,45.840018,494.4502,14.74
590.7496,78.99564931,4.587513786,74.9372614,9.233592988,9.5158,46.011379,498.8308,15.92
541.5775,78.54108205,5.658150261,75.50218565,5.620305759,9.8295,46.28392,590.7496,17.44
557.598,78.68469395,7.339975854,75.63478696,6.416651514,9.4212,46.464466,541.5775,15.13
608.0612,78.44332474,5.757871303,84.14745515,9.609120162,9.2709,46.719785,557.598,16.62
568.5493,77.55467392,4.205591773,81.16597636,3.295679632,9.354,47.061072,608.0612,16.77
559.5235,81.49842169,8.411631851,77.68352339,6.168756266,9.5314,47.385136,568.5493,17.38
583.1218,81.09311392,7.740995467,76.80932607,3.561686314,9.5004,47.790288,559.5235,18.64
666.8485,82.05585884,6.140865309,73.98238842,-3.503987481,9.4659,48.307671,583.1218,18.39
654.982,77.68283888,7.996735982,74.35472403,-3.26183372,9.7766,48.575476,666.8485,18.62
637.6737,74.34715421,6.963054278,70.88201961,-8.870999425,9.7045,48.543328,654.982,18.12
718.055,80.83897458,9.086486733,73.58600294,-5.568070827,9.6006,48.850888,637.6737,17.28
734.8058,76.9482615,8.567838738,65.23240828,-8.888624694,9.3268,49.097309,718.055,16.36
798.2438,80.97276185,4.552808199,67.81942695,-9.498391474,9.1372,49.20997,734.8058,14.09
747.837,80.74361497,6.866578857,68.34127496,-9.48437536,9.0867,49.326364,798.2438,11.64
796.5951,79.87048695,5.996997469,71.17417387,-5.897568126,9.1618,49.198202,747.837,11.1
789.3075,80.37892052,2.509894737,76.59312534,-8.977490524,9.1307,49.489688,796.5951,9.29
